"SAGDP2N Gross domestic product (GDP) by state 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"44000","Rhode Island","68","    Educational services, health care, and social assistance",3453.4,3549.2,3706.3,3794.8,4001.7,4393.0,4684.0,5030.6,5314.6,5621.6,5780.6,6182.2,6546.8,6870.7,6935.9,6998.1,7189.9,7355.0,7647.0,7719.6,7829.1,8060.5,8458.3,7990.3
"44000","Rhode Island","69","      Educational services",676.7,709.3,772.5,838.5,878.2,923.9,994.0,1101.8,1151.1,1240.0,1303.0,1424.2,1571.0,1661.3,1712.2,1679.0,1721.2,1798.1,1875.6,1874.9,1925.7,2029.0,2108.1,1977.1
"44000","Rhode Island","70","      Health care and social assistance",2776.6,2839.9,2933.8,2956.3,3123.4,3469.1,3690.1,3928.8,4163.5,4381.6,4477.5,4758.0,4975.8,5209.4,5223.7,5319.1,5468.8,5556.8,5771.5,5844.7,5903.4,6031.5,6350.2,6013.2
"44000","Rhode Island","71","        Ambulatory health care services",1103.3,1072.0,1147.8,1165.5,1223.0,1331.7,1392.5,1482.8,1618.5,1677.7,1726.0,1817.0,1897.6,1982.6,2009.9,2080.3,2120.2,2167.3,2245.5,2311.5,2328.5,2394.6,2607.5,2393.3
"44000","Rhode Island","72","        Hospitals",971.5,1027.5,1024.6,1029.0,1103.1,1263.8,1345.8,1457.2,1533.6,1641.1,1671.1,1814.0,1936.7,2040.8,2053.8,2061.7,2106.1,2125.6,2225.6,2202.9,2217.5,2231.3,2296.3,2244.9
"44000","Rhode Island","73","        Nursing and residential care facilities",417.0,442.9,467.1,482.8,518.7,567.6,608.2,633.2,648.1,682.1,697.8,733.5,747.7,793.3,783.3,799.1,822.6,847.0,868.2,888.9,905.5,929.6,941.8,927.7
"44000","Rhode Island","74","        Social assistance",284.9,297.5,294.3,278.9,278.7,305.9,343.6,355.6,363.4,380.7,382.7,393.5,393.7,392.7,376.8,378.0,419.8,417.0,432.2,441.3,451.9,476.0,504.5,447.3
"44000","Rhode Island","75","    Arts, entertainment, recreation, accommodation, and food services",1056.9,1177.4,1286.7,1448.7,1505.1,1639.9,1752.5,1787.7,1865.4,1932.3,1854.1,1932.9,1898.3,2077.9,2156.9,2324.2,2423.4,2441.4,2645.8,2793.4,2899.9,3013.1,3271.9,2466.0
"44000","Rhode Island","76","      Arts, entertainment, and recreation",255.2,291.4,311.6,367.8,361.5,401.1,459.1,443.4,449.8,465.1,444.4,439.3,439.1,495.5,513.8,536.5,567.8,629.7,665.1,706.5,713.3,676.0,616.7,404.4
"44000","Rhode Island","77","        Performing arts, spectator sports, museums, and related activities",111.2,121.0,135.4,164.3,167.9,193.2,214.4,181.6,176.2,176.0,146.9,153.4,167.3,209.3,223.3,236.9,244.2,256.5,259.7,287.2,288.6,282.2,310.0,152.2
"44000","Rhode Island","78","        Amusement, gambling, and recreation industries",144.1,170.4,176.3,203.5,193.5,208.0,244.6,261.8,273.6,289.1,297.4,285.9,271.8,286.2,290.5,299.6,323.6,373.2,405.4,419.3,424.7,393.7,306.7,252.1
"44000","Rhode Island","79","      Accommodation and food services",801.7,886.0,975.0,1080.8,1143.7,1238.7,1293.5,1344.3,1415.6,1467.2,1409.7,1493.7,1459.2,1582.3,1643.2,1787.7,1855.6,1811.7,1980.8,2086.9,2186.6,2337.2,2655.2,2061.6
"44000","Rhode Island","80","        Accommodation",173.2,204.3,216.3,251.3,248.8,257.9,261.8,297.8,345.1,357.8,313.5,393.2,362.8,414.3,446.1,502.9,503.9,387.1,423.6,421.1,456.9,552.6,782.2,521.3
"44000","Rhode Island","81","        Food services and drinking places",628.5,681.7,758.8,829.6,894.9,980.8,1031.7,1046.6,1070.5,1109.4,1096.2,1100.5,1096.4,1168.1,1197.1,1284.8,1351.8,1424.6,1557.2,1665.8,1729.7,1784.6,1873.0,1540.3
