"year","employ","sector","region"
2000,592.9,8,"FRA"
2000,337.7,9,"FRA"
2000,435.9,10,"FRA"
2000,343.6,11,"FRA"
2000,192.5,12,"FRA"
2000,17168.3,13,"FRA"
2000,490,14,"GBR"
2000,159.06580554911,4,"GBR"
2000,499.190576216165,1,"GBR"
2000,205.278369217549,2,"GBR"
2000,587.74438344393,3,"GBR"
2000,370.94161455101,5,"GBR"
2000,224.565732563136,6,"GBR"
2000,140.05346827708,7,"GBR"
2000,515.316732706354,8,"GBR"
2000,366.059750799637,9,"GBR"
2000,557.692910679334,10,"GBR"
2000,485.185229388457,11,"GBR"
2000,166.503566143123,12,"GBR"
2000,22631.2302317342,13,"GBR"
2000,722.44,14,"GRC"
2000,17.931,4,"GRC"
2000,107.429,1,"GRC"
2000,108.695,2,"GRC"
2000,61.376,3,"GRC"
2000,22.958,5,"GRC"
2000,13.884,6,"GRC"
2000,30.965,7,"GRC"
2000,42.974,8,"GRC"
2000,23.425,9,"GRC"
2000,14.671,10,"GRC"
2000,20.039,11,"GRC"
2000,41.848,12,"GRC"
2000,2629.229,13,"GRC"
2000,528.705,14,"HUN"
2000,26.336,4,"HUN"
2000,163.268,1,"HUN"
2000,174.67,2,"HUN"
2000,84.327,3,"HUN"
2000,54.545,5,"HUN"
2000,46.987,6,"HUN"
2000,34.535,7,"HUN"
2000,98.515,8,"HUN"
2000,68.47,9,"HUN"
2000,160.239,10,"HUN"
2000,51.029,11,"HUN"
2000,48.099,12,"HUN"
2000,2322.468,13,"HUN"
2000,40434.173,14,"IDN"
2000,874.468,4,"IDN"
2000,3012.592,1,"IDN"
2000,2480.225,2,"IDN"
2000,2800.132,3,"IDN"
2000,297.491,5,"IDN"
2000,895.7,6,"IDN"
2000,648.911,7,"IDN"
2000,357.938,8,"IDN"
2000,120.979678182302,9,"IDN"
2000,138.181321817698,10,"IDN"
2000,470.1,11,"IDN"
2000,571.118,12,"IDN"
2000,31583.83,13,"IDN"
2000,248612.012123533,14,"IND"
2000,2472.70678369341,4,"IND"
2000,11540.7103340357,1,"IND"
2000,10373.1729592896,2,"IND"
2000,6674.52037383596,3,"IND"
2000,2102.14272297007,5,"IND"
2000,1083.10661585101,6,"IND"
2000,3984.97987566988,7,"IND"
2000,3941.12818646852,8,"IND"
2000,1411.55631198575,9,"IND"
2000,1405.2696238382,10,"IND"
2000,774.711132056679,11,"IND"
2000,3877.16853803804,12,"IND"
2000,93972.7925677812,13,"IND"
2000,130.525,14,"IRL"
2000,16.8601326171224,4,"IRL"
